x,y,value,rgb_distance
35.3153153,19.1489362,0,1
35.9459459,19.1489362,0,1
36.5765766,19.1489362,0,1
37.2072072,19.1489362,0,1
37.8378378,19.1489362,0,1
38.4684685,19.1489362,,143.035
39.0990991,19.1489362,0,1
39.7297297,19.1489362,0,1
40.3603604,19.1489362,0,1
40.990991,19.1489362,0,1
41.6216216,19.1489362,0,1
42.2522523,19.1489362,0,1
42.8828829,19.1489362,0,1
43.5135135,19.1489362,0,1
44.1441441,19.1489362,0,1
44.7747748,19.1489362,0,1
45.4054054,19.1489362,0,1
46.036036,19.1489362,0,1
46.6666667,19.1489362,0,1
47.2972973,19.1489362,0,1
47.9279279,19.1489362,0,1
48.5585586,19.1489362,0,1
49.1891892,19.1489362,0,1
49.8198198,19.1489362,0,1
50.4504505,19.1489362,0,1
51.0810811,19.1489362,0,1
51.7117117,19.1489362,0,1
52.3423423,19.1489362,0,1
52.972973,19.1489362,0,1
53.6036036,19.1489362,0,1
54.2342342,19.1489362,0,1
54.8648649,19.1489362,0,1
55.4954955,19.1489362,0,1
56.1261261,19.1489362,0,1
56.7567568,19.1489362,0,1
57.3873874,19.1489362,0,1
58.018018,19.1489362,0,1
58.6486486,19.1489362,0,1
59.2792793,19.1489362,0,1
59.9099099,19.1489362,0,1
60.5405405,19.1489362,0,1
61.1711712,19.1489362,0,1
61.8018018,19.1489362,0,1
62.4324324,19.1489362,0,1
63.0630631,19.1489362,0,1
63.6936937,19.1489362,0,1
64.3243243,19.1489362,0,1
64.954955,19.1489362,0,1
65.5855856,19.1489362,0,1
66.2162162,19.1489362,0,1
66.8468468,19.1489362,0,1
67.4774775,19.1489362,0,1
68.1081081,19.1489362,7.79617834395e-06,1.414214
68.7387387,19.1489362,7.89808917197e-06,0
69.3693694,19.1489362,7.89808917197e-06,0
70,19.1489362,7.89808917197e-06,0
0,18.7234043,0,1
0.630630631,18.7234043,0,1
1.26126126,18.7234043,0,1
1.89189189,18.7234043,0,1
2.52252252,18.7234043,0,1
3.15315315,18.7234043,0,1
3.78378378,18.7234043,0,1
4.41441441,18.7234043,0,1
5.04504505,18.7234043,0,1
5.67567568,18.7234043,0,1
6.30630631,18.7234043,0,1
6.93693694,18.7234043,0,1
7.56756757,18.7234043,0,1
8.1981982,18.7234043,0,1
8.82882883,18.7234043,0,1
9.45945946,18.7234043,0,1
10.0900901,18.7234043,0,1
10.7207207,18.7234043,0,1
11.3513514,18.7234043,0,1
11.981982,18.7234043,0,1
12.6126126,18.7234043,0,1
13.2432432,18.7234043,0,1
13.8738739,18.7234043,0,1
14.5045045,18.7234043,0,1
15.1351351,18.7234043,0,1
15.7657658,18.7234043,0,1
16.3963964,18.7234043,0,1
17.027027,18.7234043,0,1
17.6576577,18.7234043,0,1
18.2882883,18.7234043,0,1
18.9189189,18.7234043,0,1
19.5495495,18.7234043,0,1
20.1801802,18.7234043,0,1
20.8108108,18.7234043,0,1
21.4414414,18.7234043,0,1
22.0720721,18.7234043,0,1
22.7027027,18.7234043,0,1
23.3333333,18.7234043,0,1
23.963964,18.7234043,0,1
24.5945946,18.7234043,0,1
25.2252252,18.7234043,0,1
25.8558559,18.7234043,0,1
26.4864865,18.7234043,0,1
27.1171171,18.7234043,0,1
27.7477477,18.7234043,0,1
28.3783784,18.7234043,0,1
29.009009,18.7234043,0,1
29.6396396,18.7234043,0,1
30.2702703,18.7234043,0,1
30.9009009,18.7234043,0,1
31.5315315,18.7234043,0,1
32.1621622,18.7234043,0,1
32.7927928,18.7234043,0,1
33.4234234,18.7234043,0,1
34.0540541,18.7234043,0,1
34.6846847,18.7234043,0,1
35.3153153,18.7234043,0,1
35.9459459,18.7234043,0,1
36.5765766,18.7234043,0,1
37.2072072,18.7234043,0,1
37.8378378,18.7234043,0,1
38.4684685,18.7234043,0,1
39.0990991,18.7234043,0,1
39.7297297,18.7234043,0,1
40.3603604,18.7234043,0,1
40.990991,18.7234043,0,1
41.6216216,18.7234043,0,1
42.2522523,18.7234043,0,1
42.8828829,18.7234043,0,1
43.5135135,18.7234043,0,1
44.1441441,18.7234043,0,1
44.7747748,18.7234043,0,1
45.4054054,18.7234043,0,1
46.036036,18.7234043,0,1
46.6666667,18.7234043,0,1
47.2972973,18.7234043,0,1
47.9279279,18.7234043,0,1
48.5585586,18.7234043,0,1
49.1891892,18.7234043,0,1
49.8198198,18.7234043,0,1
50.4504505,18.7234043,0,1
51.0810811,18.7234043,0,1
51.7117117,18.7234043,0,1
52.3423423,18.7234043,0,1
52.972973,18.7234043,0,1
53.6036036,18.7234043,0,1
54.2342342,18.7234043,0,1
54.8648649,18.7234043,0,1
55.4954955,18.7234043,0,1
56.1261261,18.7234043,0,1
56.7567568,18.7234043,0,1
57.3873874,18.7234043,0,1
58.018018,18.7234043,0,1
58.6486486,18.7234043,0,1
59.2792793,18.7234043,0,1
59.9099099,18.7234043,0,1
60.5405405,18.7234043,0,1
61.1711712,18.7234043,,71.86793
61.8018018,18.7234043,,49.55805
62.4324324,18.7234043,,46.78675
63.0630631,18.7234043,,51.0196
63.6936937,18.7234043,0,1
64.3243243,18.7234043,,37.01351
64.954955,18.7234043,0,1
65.5855856,18.7234043,0,1
66.2162162,18.7234043,,143.035
66.8468468,18.7234043,0,1
67.4774775,18.7234043,0,1
68.1081081,18.7234043,7.79617834395e-06,1.414214
68.7387387,18.7234043,7.89808917197e-06,0
69.3693694,18.7234043,7.89808917197e-06,0
70,18.7234043,7.89808917197e-06,0
0,18.2978723,,67.00746
0.630630631,18.2978723,0,4.690416
1.26126126,18.2978723,0,1
1.89189189,18.2978723,0,1
2.52252252,18.2978723,0,1
3.15315315,18.2978723,0,1
3.78378378,18.2978723,0,1
4.41441441,18.2978723,0,1
5.04504505,18.2978723,0,1
5.67567568,18.2978723,0,1
6.30630631,18.2978723,0,1
6.93693694,18.2978723,0,1
7.56756757,18.2978723,0,1
8.1981982,18.2978723,0,1
8.82882883,18.2978723,0,1
9.45945946,18.2978723,0,1
10.0900901,18.2978723,0,1
10.7207207,18.2978723,0,1
11.3513514,18.2978723,0,1
11.981982,18.2978723,0,1
12.6126126,18.2978723,0,1
13.2432432,18.2978723,0,1
13.8738739,18.2978723,0,1
14.5045045,18.2978723,0,1
15.1351351,18.2978723,0,1
15.7657658,18.2978723,0,1
16.3963964,18.2978723,0,1
17.027027,18.2978723,0,1
17.6576577,18.2978723,0,1
18.2882883,18.2978723,0,1
18.9189189,18.2978723,0,1
19.5495495,18.2978723,0,1
20.1801802,18.2978723,0,1
20.8108108,18.2978723,0,1
21.4414414,18.2978723,0,1
22.0720721,18.2978723,0,1
22.7027027,18.2978723,0,1
23.3333333,18.2978723,0,1
23.963964,18.2978723,0,1
24.5945946,18.2978723,0,1
25.2252252,18.2978723,0,1
25.8558559,18.2978723,0,1
26.4864865,18.2978723,0,1
27.1171171,18.2978723,0,1
27.7477477,18.2978723,0,1
28.3783784,18.2978723,0,1
29.009009,18.2978723,0,1
29.6396396,18.2978723,0,1
30.2702703,18.2978723,0,1
30.9009009,18.2978723,0,1
31.5315315,18.2978723,0,1
32.1621622,18.2978723,0,1
32.7927928,18.2978723,0,1
33.4234234,18.2978723,0,1
34.0540541,18.2978723,0,1
34.6846847,18.2978723,0,1
35.3153153,18.2978723,0,1
35.9459459,18.2978723,0,1
36.5765766,18.2978723,0,1
37.2072072,18.2978723,0,1
37.8378378,18.2978723,0,1
38.4684685,18.2978723,0,1
39.0990991,18.2978723,0,1
39.7297297,18.2978723,0,1
40.3603604,18.2978723,0,1
40.990991,18.2978723,0,1
41.6216216,18.2978723,0,1
42.2522523,18.2978723,0,1
42.8828829,18.2978723,0,1
43.5135135,18.2978723,0,1
