x,y,value,rgb_distance
0,1,,254.0709
0.168224299,1,,254.0709
0.336448598,1,,254.0709
0.504672897,1,,254.0709
0.672897196,1,,254.0709
0.841121495,1,,254.0709
1.00934579,1,,254.0709
1.17757009,1,,254.0709
1.34579439,1,,254.0709
1.51401869,1,,254.0709
1.68224299,1,,254.0709
1.85046729,1,,254.0709
2.01869159,1,,254.0709
2.18691589,1,,254.0709
2.35514019,1,,254.0709
2.52336449,1,,254.0709
2.69158879,1,,254.0709
2.85981308,1,,214.6352
3.02803738,1,,215.6345
3.19626168,1,,215.6345
3.36448598,1,,215.6345
3.53271028,1,,215.6345
3.70093458,1,,215.6345
3.86915888,1,,215.6044
4.03738318,1,,214.6352
4.20560748,1,,214.6049
4.37383178,1,,214.6049
4.54205607,1,,214.6049
4.71028037,1,,214.5792
4.87850467,1,,214.6049
5.04672897,1,,214.5792
5.21495327,1,,213.5585
5.38317757,1,,214.5583
5.55140187,1,,213.5585
5.71962617,1,,214.5583
5.88785047,1,,214.542
6.05607477,1,,213.5422
6.22429907,1,,213.5304
6.39252336,1,,212.5235
6.56074766,1,,212.5235
6.72897196,1,,212.5235
6.89719626,1,,212.5235
7.06542056,1,,212.5212
7.23364486,1,,213.5234
7.40186916,1,,212.5235
7.57009346,1,,211.4734
7.73831776,1,,211.4096
7.90654206,1,,211.4096
8.07476636,1,,210.4115
8.24299065,1,,210.3521
8.41121495,1,,210.2974
8.57943925,1,,210.2475
8.74766355,1,,209.2033
8.91588785,1,,209.1626
9.08411215,1,,209.1268
9.25233645,1,,208.0961
9.42056075,1,,207.0966
9.58878505,1,,207.0966
9.75700935,1,,206.0971
9.92523364,1,,205.0707
10.0934579,1,,204.0711
10.2616822,1,,204.0711
10.4299065,1,,203.0714
10.5981308,1,,204.0711
10.7663551,1,,203.0493
10.9345794,1,,202.0495
11.1028037,1,,201.0497
11.271028,1,,201.0497
11.4392523,1,,200.05
11.6074766,1,,200.05
11.7757009,1,,200.05
11.9439252,1,,200.05
12.1121495,1,,201.0497
12.2803738,1,,199.0502
12.4485981,1,,202.0421
12.6168224,1,,201.0423
12.7850467,1,,202.0421
12.953271,1,,203.0419
13.1214953,1,,202.0421
13.2897196,1,,203.0419
13.4579439,1,,204.0392
13.6261682,1,,203.0394
13.7943925,1,,203.0271
13.9626168,1,,204.7462
14.1308411,1,,204.5189
14.2990654,1,,204.2841
14.4672897,1,,206.1577
14.635514,1,,206.0607
14.8037383,1,,212.0755
14.9719626,1,,221.0724
15.1401869,1,,222.1171
15.3084112,1,,221.7679
15.4766355,1,,223.6292
15.6448598,1,,227.3961
15.8130841,1,,228.3725
15.9813084,1,,231.2445
16.1495327,1,,233.3645
16.317757,1,,234.4376
16.4859813,1,,234.557
16.6542056,1,,233.6857
16.8224299,1,,233.6857
16.9906542,1,,233.6857
17.1588785,1,,233.6857
17.3271028,1,,233.7563
17.4953271,1,,233.7563
17.6635514,1,,233.7563
17.8317757,1,,232.8347
18,1,,232.7595
0,0.962962963,,254.0709
0.168224299,0.962962963,,254.0709
0.336448598,0.962962963,,254.0709
0.504672897,0.962962963,,254.0709
0.672897196,0.962962963,,254.0709
0.841121495,0.962962963,,254.0709
1.00934579,0.962962963,,254.0709
1.17757009,0.962962963,,254.0709
1.34579439,0.962962963,,254.0709
1.51401869,0.962962963,,254.0709
1.68224299,0.962962963,,254.0709
1.85046729,0.962962963,,254.0709
2.01869159,0.962962963,,254.0709
2.18691589,0.962962963,,254.0709
2.35514019,0.962962963,,254.0709
2.52336449,0.962962963,,254.0709
2.69158879,0.962962963,,254.0709
2.85981308,0.962962963,0.010752688172,17.14643
3.02803738,0.962962963,0.010752688172,17.29162
3.19626168,0.962962963,0.010752688172,17.29162
3.36448598,0.962962963,0.010752688172,17.29162
3.53271028,0.962962963,0.010752688172,17.29162
3.70093458,0.962962963,0.010752688172,17.29162
3.86915888,0.962962963,0.010752688172,17.29162
4.03738318,0.962962963,0.010752688172,17.29162
4.20560748,0.962962963,0.010752688172,17.29162
4.37383178,0.962962963,0.010752688172,17.29162
4.54205607,0.962962963,0.010752688172,17.29162
4.71028037,0.962962963,0.010752688172,17.29162
4.87850467,0.962962963,0.010752688172,17.29162
5.04672897,0.962962963,0.010752688172,17.29162
5.21495327,0.962962963,0.010752688172,17.29162
5.38317757,0.962962963,0.010752688172,17.29162
5.55140187,0.962962963,0.010752688172,17.29162
5.71962617,0.962962963,0.010752688172,17.29162
5.88785047,0.962962963,0.010752688172,17.29162
6.05607477,0.962962963,0.010752688172,17.29162
6.22429907,0.962962963,0.010752688172,17.14643
6.39252336,0.962962963,0.010752688172,17.29162
6.56074766,0.962962963,0.010752688172,17.29162
6.72897196,0.962962963,0.010752688172,17.29162
6.89719626,0.962962963,0.010752688172,17.29162
7.06542056,0.962962963,0.010752688172,17.29162
7.23364486,0.962962963,0.010752688172,17.29162
7.40186916,0.962962963,0.010752688172,17.29162
7.57009346,0.962962963,0.010752688172,17.29162
7.73831776,0.962962963,0.010752688172,17.29162
7.90654206,0.962962963,0.010752688172,17.29162
8.07476636,0.962962963,0.010752688172,17.29162
8.24299065,0.962962963,0.010752688172,17.29162
8.41121495,0.962962963,0.010752688172,17.29162
8.57943925,0.962962963,0.010752688172,17.29162
