x_m,case1_JL_temperature_K,case2_SKEL_temperature_K
0.0620816327,2456.27803,1961.88341
0.0624489796,2346.41256,1820.6278
0.0628163265,2205.15695,1718.60987
0.0631836735,2048.20628,1624.43946
0.0635510204,1930.49327,1530.26906
0.0639183673,1812.78027,1467.48879
0.0642857143,1687.21973,1404.70852
0.0646530612,1600.89686,1365.47085
0.0650204082,1514.57399,1334.08072
0.0653877551,1451.79372,1310.53812
0.065755102,1420.40359,1294.84305
0.066122449,1365.47085,1271.30045
0.0664897959,1334.08072,1255.60538
0.0668571429,1310.53812,1239.91031
0.0672244898,1294.84305,1239.91031
0.0675918367,1271.30045,1224.21525
0.0679591837,1263.45291,1216.36771
0.0683265306,1247.75785,1208.52018
0.0686938776,1247.75785,1200.67265
0.0690612245,1232.06278,1200.67265
0.0694285714,1224.21525,1184.97758
0.0697959184,1224.21525,1184.97758
0.0701632653,,1184.97758
0.0705306122,,1177.13004
0.0708979592,,1177.13004
0.0712653061,,1177.13004
0.0716326531,,1177.13004
0.072,,1169.28251
0.0723673469,,1169.28251
0.0727346939,,1161.43498
0.0731020408,,1161.43498
0.0734693878,,1161.43498
0.0738367347,,1161.43498
0.0742040816,,1153.58744
0.0745714286,,1153.58744
0.0749387755,,1153.58744
0.0753061224,,1145.73991
0.0756734694,,1145.73991
0.0760408163,,1145.73991
0.0764081633,,1145.73991
0.0767755102,,1153.58744
0.0771428571,1114.34978,1153.58744
0.0775102041,1114.34978,1153.58744
0.077877551,1114.34978,1153.58744
0.078244898,1106.50224,1153.58744
0.0786122449,1106.50224,1145.73991
0.0789795918,1106.50224,1145.73991
0.0793469388,1106.50224,1137.89238
0.0797142857,1106.50224,1137.89238
0.0800816327,1106.50224,1137.89238
0.0804489796,1098.65471,1137.89238
0.0808163265,1090.80717,1137.89238
0.0811836735,1090.80717,1137.89238
0.0815510204,1090.80717,1130.04484
0.0819183673,1082.95964,1130.04484
0.0822857143,1082.95964,1130.04484
0.0826530612,1082.95964,1130.04484
0.0830204082,1082.95964,1130.04484
0.0833877551,1082.95964,1130.04484
0.083755102,1075.11211,1130.04484
0.084122449,1075.11211,1130.04484
0.0844897959,1075.11211,1130.04484
0.0848571429,1067.26457,1130.04484
0.0852244898,1067.26457,1130.04484
0.0855918367,1067.26457,1130.04484
0.0859591837,1067.26457,1130.04484
0.0863265306,1067.26457,1130.04484
0.0866938776,1067.26457,1130.04484
0.0870612245,1059.41704,1122.19731
0.0874285714,1059.41704,1122.19731
0.0877959184,1059.41704,1122.19731
0.0881632653,1059.41704,1122.19731
0.0885306122,1051.56951,1122.19731
0.0888979592,1051.56951,1114.34978
0.0892653061,1051.56951,1114.34978
0.0896326531,1051.56951,1114.34978
0.09,1051.56951,1122.19731
