x,y,value,rgb_distance
0,1,,92.61884
0.168224299,1,810.810810811,4.609772
0.336448598,1,810.810810811,4.272002
0.504672897,1,810.810810811,3.774917
0.672897196,1,810.810810811,4.153312
0.841121495,1,810.810810811,4.609772
1.00934579,1,810.810810811,4.609772
1.17757009,1,843.243243243,5.315073
1.34579439,1,810.810810811,5.315073
1.51401869,1,810.810810811,6.5
1.68224299,1,810.810810811,6.5
1.85046729,1,810.810810811,5.408327
2.01869159,1,810.810810811,6.422616
2.18691589,1,810.810810811,6.422616
2.35514019,1,843.243243243,6.344289
2.52336449,1,843.243243243,4.716991
2.69158879,1,843.243243243,3.201562
2.85981308,1,843.243243243,4.387482
3.02803738,1,843.243243243,3.5
3.19626168,1,843.243243243,3.201562
3.36448598,1,843.243243243,3.640055
3.53271028,1,843.243243243,6.726812
3.70093458,1,843.243243243,6.344289
3.86915888,1,843.243243243,8.381527
4.03738318,1,843.243243243,9.708244
4.20560748,1,843.243243243,12.05197
4.37383178,1,810.810810811,12.05197
4.54205607,1,810.810810811,10.5
4.71028037,1,810.810810811,7.36546
4.87850467,1,810.810810811,7.017834
5.04672897,1,810.810810811,8.077747
5.21495327,1,778.378378378,8.3666
5.38317757,1,778.378378378,7.81025
5.55140187,1,778.378378378,8.717798
5.71962617,1,745.945945946,4.123106
5.88785047,1,745.945945946,2.236068
6.05607477,1,745.945945946,5.656854
6.22429907,1,745.945945946,6.480741
6.39252336,1,713.513513514,4.716991
6.56074766,1,713.513513514,4.387482
6.72897196,1,713.513513514,1.118034
6.89719626,1,713.513513514,2.692582
7.06542056,1,713.513513514,3.354102
7.23364486,1,713.513513514,5.408327
7.40186916,1,681.081081081,5
7.57009346,1,681.081081081,5.744563
7.73831776,1,681.081081081,5.385165
7.90654206,1,681.081081081,5.09902
8.07476636,1,681.081081081,5.744563
8.24299065,1,713.513513514,4.716991
8.41121495,1,713.513513514,1.802776
8.57943925,1,713.513513514,1.5
8.74766355,1,713.513513514,3.201562
8.91588785,1,713.513513514,8.077747
9.08411215,1,713.513513514,6.422616
9.25233645,1,713.513513514,5.59017
9.42056075,1,713.513513514,5.024938
9.58878505,1,745.945945946,5.09902
9.75700935,1,745.945945946,3
9.92523364,1,745.945945946,5.09902
10.0934579,1,745.945945946,5
10.2616822,1,745.945945946,3.741657
10.4299065,1,745.945945946,3.605551
10.5981308,1,745.945945946,4
10.7663551,1,745.945945946,4.123106
10.9345794,1,745.945945946,4.123106
11.1028037,1,745.945945946,5
11.271028,1,745.945945946,4.242641
11.4392523,1,745.945945946,3.741657
11.6074766,1,745.945945946,3.162278
11.7757009,1,745.945945946,4.123106
11.9439252,1,745.945945946,4.123106
12.1121495,1,745.945945946,3.741657
12.2803738,1,745.945945946,4.123106
12.4485981,1,745.945945946,4.123106
12.6168224,1,745.945945946,5.744563
12.7850467,1,745.945945946,5.385165
12.953271,1,745.945945946,5.385165
13.1214953,1,745.945945946,10.24695
13.2897196,1,745.945945946,7.81025
13.4579439,1,745.945945946,4.242641
13.6261682,1,745.945945946,6
13.7943925,1,745.945945946,4.898979
13.9626168,1,745.945945946,4.358899
14.1308411,1,745.945945946,5.830952
14.2990654,1,778.378378378,2.828427
14.4672897,1,778.378378378,3.605551
14.635514,1,778.378378378,3.741657
14.8037383,1,810.810810811,4.387482
14.9719626,1,778.378378378,8.246211
15.1401869,1,745.945945946,28.47806
15.3084112,1,,44.03408
15.4766355,1,713.513513514,21.77728
15.6448598,1,778.378378378,21.86321
15.8130841,1,810.810810811,6.103278
15.9813084,1,810.810810811,13.04799
16.1495327,1,843.243243243,12.61943
16.317757,1,843.243243243,1.802776
16.4859813,1,843.243243243,17.52855
16.6542056,1,810.810810811,2.291288
16.8224299,1,843.243243243,5.220153
